a,b,c,d,e,f,g,h,i,j,k,l,m
1.018151836,6.135695336,-0.874189131,2.022324009,-1.411739522,0.398808675,-3.268067276,-1.363669416,0.730247168,-0.641163246,-0.681501525,2.035613892,-1.140275657
2.52279624,-1.640071501,-2.232312189,0.29481509,0.791146548,2.259747726,-1.524256924,-1.821914939,0.564458183,-0.278746176,0.051032424,0.524636461,0.069308939
-1.482672371,-1.251954061,2.665459901,-1.259560834,2.995439618,-1.236345312,1.928096823,-0.326892937,-1.665122851,1.014716014,-0.314134766,1.062834888,2.060642721
-4.160603038,-0.31888165,0.129506197,-2.380582438,-0.406578872,-1.730691689,1.306950082,2.095736672,1.836384533,-0.72819578,1.15991579,2.959333025,1.677110523
-2.395200204,0.621457309,-0.612164013,-0.991066111,-1.559816604,1.668077902,-0.695299886,-0.16363574,1.894595324,-1.526127878,-0.679165812,-0.939414335,-1.810149955
1.640186218,-1.365865934,1.1246452,0.632687819,1.261926489,-0.877172062,0.010058106,-2.554909827,-3.34669335,4.16182449,0.000677901,0.438241341,1.100538348
-2.314445919,-1.146226421,1.952664483,-0.574758562,4.353183693,1.352654199,0.360548818,-1.44403463,0.367058173,-0.994115229,-0.798447604,-0.047192814,-0.61757429
-4.665629583,0.71028745,-0.106225397,-1.664265872,0.373832223,-1.885048371,2.325995356,-0.030155219,0.354432527,-1.08543275,-1.095199268,0.67047956,2.125882117
-1.080095622,0.580605633,-0.906415146,0.861318967,-1.751041797,-0.187055492,-1.562584631,0.590723685,-0.830754908,-0.353845698,1.54497818,-0.75415781,-0.717418362
1.556901651,-0.756680071,-1.584605646,0.840519416,3.175781552,1.838985896,-0.188707621,-1.759559416,-1.656988382,1.057252904,2.052272063,0.258723173,-2.281306518
-2.171698703,0.644648885,-2.30938589,-2.263332812,-2.089949924,-1.589300541,2.721573526,-1.115000132,-0.341149584,-1.44831324,2.445246683,2.52589961,4.76916849
-4.372825548,0.33617996,-2.850948501,0.506568925,2.264194645,1.238432059,-0.770199221,-0.685606376,1.98978579,0.678315427,-0.840580137,0.006497815,0.755014361
-1.650858071,-2.087435606,2.965559725,-0.502877732,1.162013484,3.275874713,0.16108674,-1.52393397,0.329629279,-0.116911653,-0.340240325,1.55408462,-0.424700449
-0.657332517,1.435283475,-0.368540916,-3.501004249,-1.534267414,-0.202955768,1.613299601,1.345810693,-0.795414793,-1.299863175,0.134578125,-0.966217367,-0.814157828
-2.940748712,-0.260749322,0.268481492,-2.025918812,-0.616137083,-0.097506804,0.622913654,0.0382822,-0.088191157,-1.05360312,-0.298380301,1.866713459,0.733156474
0.410129769,0.014991665,-2.002757704,1.382364442,3.276835385,0.866961553,0.738991158,2.628977494,1.76679816,2.092695261,3.056086773,2.128378909,-2.174865386
